City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
126,Labuhan,ID,81.52,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
129,Rocha,UY,72.7,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
132,Surt,LY,72.72,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
133,Cape Town,ZA,71.1,overcast clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
136,Pangkalanbuun,ID,75.18,light rain,-2.6833,111.6167,Grand Kecubung Hotel
146,Lorengau,PG,80.76,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
149,Buchanan,LR,84.16,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
153,Salinopolis,BR,82.11,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
161,Isangel,VU,75.07,scattered clouds,-19.55,169.2667,Tanna Lodge
162,Misratah,LY,73.83,broken clouds,32.3754,15.0925,Almasa Hotel
174,Cabo San Lucas,MX,84.06,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
177,Poum,NC,74.44,clear sky,-20.2333,164.0167,Gîte kajeon
179,Igunga,TZ,82.69,scattered clouds,-4.2833,33.8833,Victoria Lodge
180,Kendari,ID,77.25,overcast clouds,-3.945,122.4989,Hotel Wixel
186,Port Elizabeth,ZA,79.11,clear sky,-33.918,25.5701,39 On Nile Guest House
187,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
188,Itoman,JP,73.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
197,Buin,CL,80.92,overcast clouds,-33.7333,-70.75,Paihuen
201,Bubaque,GW,82.63,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
203,Antalaha,MG,74.73,light rain,-14.9003,50.2788,Hotel Vitasoa
208,Chuy,UY,72.7,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
210,Kununurra,AU,76.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
212,Ambulu,ID,77.2,light rain,-8.345,113.6058,Hotel Ambulu Jember
215,Holguin,CU,83.7,scattered clouds,20.8872,-76.2631,Casa Cables. Holguín
220,Daru,PG,80.01,overcast clouds,-9.0763,143.2092,Daru Lodge
223,Meulaboh,ID,77.56,overcast clouds,4.1363,96.1285,Kost Pria
