City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Pisco,PE,2021-10-28 19:18:57,-13.7,-76.2167,68.05,73,0,6.91
202,Santiago Del Estero,AR,2021-10-28 19:18:57,-27.7951,-64.2615,98.8,14,0,15.39
203,Thompson,CA,2021-10-28 19:18:58,55.7435,-97.8558,39.36,93,75,11.5
204,Padang,ID,2021-10-28 19:18:58,-0.9492,100.3543,78.46,81,100,3.27
205,Demirci,TR,2021-10-28 19:18:59,39.0461,28.6589,47.35,75,6,7.38
206,Kropotkin,RU,2021-10-28 19:18:59,45.4375,40.5756,45.25,54,100,6.13
207,Avarua,CK,2021-10-28 19:18:59,-21.2078,-159.775,75.25,73,20,12.66
208,Port Hedland,AU,2021-10-28 19:19:00,-20.3167,118.5667,73.45,73,5,10.36
209,Cabedelo,BR,2021-10-28 19:19:00,-6.9811,-34.8339,84.87,62,87,17.29
210,Yellowknife,CA,2021-10-28 19:19:01,62.456,-114.3525,35.42,99,90,2.3
211,Marawi,PH,2021-10-28 19:19:01,7.9986,124.2928,66.65,94,30,1.54
212,Yantal,RU,2021-10-28 19:19:02,56.8471,105.2542,22.57,66,50,3.38
213,Chuy,UY,2021-10-28 19:19:03,-33.6971,-53.4616,76.66,53,0,11.9
214,Korhogo,CI,2021-10-28 19:19:03,9.45,-5.6333,81.25,61,100,3.69
215,Pathein,MM,2021-10-28 19:19:04,16.7833,94.7333,75.52,92,100,4.74
216,Port Augusta,AU,2021-10-28 19:19:04,-32.5,137.7667,55.71,71,45,17.18
217,Wahiawa,US,2021-10-28 19:19:05,21.5028,-158.0236,78.8,81,75,0.0
218,Ampanihy,MG,2021-10-28 19:19:05,-24.7,44.75,63.1,63,71,12.39
219,San Rafael,AR,2021-10-28 19:19:05,-34.6177,-68.3301,94.82,14,0,18.57
220,Stornoway,GB,2021-10-28 19:17:19,58.2093,-6.3865,52.93,93,40,8.05
221,Lasa,IT,2021-10-28 19:19:06,46.6166,10.7002,47.28,49,7,3.83
222,Ancud,CL,2021-10-28 19:20:07,-41.8697,-73.8203,62.13,67,21,9.31
223,Causapscal,CA,2021-10-28 19:20:08,48.3542,-67.227,46.94,58,28,4.76
224,Arbazh,RU,2021-10-28 19:20:08,57.6804,48.3065,28.9,74,73,12.21
225,Sur,OM,2021-10-28 19:20:09,22.5667,59.5289,78.42,65,0,3.49
226,Kodiak,US,2021-10-28 19:19:04,57.79,-152.4072,31.51,74,1,4.61
227,Nabire,ID,2021-10-28 19:20:09,-3.3667,135.4833,74.19,91,100,3.83
228,Marzuq,YE,2021-10-28 19:20:10,14.4,46.4667,74.66,26,5,1.54
229,Tabou,CI,2021-10-28 19:20:10,4.423,-7.3528,78.66,83,86,6.02
230,Novosheshminsk,RU,2021-10-28 19:20:11,55.0651,51.2338,41.41,78,100,8.86
231,Kameyama,JP,2021-10-28 19:20:11,34.85,136.45,58.37,70,0,7.27
232,Beruwala,LK,2021-10-28 19:20:12,6.4788,79.9828,77.13,90,100,5.46
233,Ahipara,NZ,2021-10-28 19:20:12,-35.1667,173.1667,59.99,89,20,10.71
234,Ryotsu,JP,2021-10-28 19:20:12,38.0833,138.4333,55.53,57,79,9.53
235,Abramovka,RU,2021-10-28 19:20:13,51.1886,41.0202,45.3,90,100,10.07
